Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [V],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-25/3:52:32 PM,M1   ,1013,0,29.97,10.22,10.99,29.99,10.22,11.04,29.8,10.22,11.05,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:33 PM,M1   ,1013,0,29.97,10.22,10.99,29.99,10.22,11.04,29.8,10.22,11.05,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:34 PM,M1   ,1013,0,29.97,10.22,10.99,30,10.22,11.03,29.8,10.22,11.05,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:35 PM,M1   ,1013,0,29.98,10.22,10.98,29.99,10.22,11.04,29.81,10.22,11.04,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:36 PM,M1   ,1013,0,29.99,10.22,10.97,30,10.22,11.03,29.79,10.22,11.06,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:37 PM,M1   ,1013,0,29.96,10.22,11,29.98,10.22,11.05,29.79,10.22,11.06,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:38 PM,M1   ,1013,0,29.98,10.22,10.98,30,10.22,11.03,29.79,10.22,11.06,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:39 PM,M1   ,1013,0,29.96,10.22,11,29.99,10.22,11.04,29.8,10.22,11.05,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:40 PM,M1   ,1013,0,29.97,10.22,10.99,29.98,10.22,11.05,29.8,10.22,11.05,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-25/3:52:41 PM,M1   ,1013,0,29.96,10.22,11,29.99,10.22,11.04,29.79,10.22,11.06,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,10.22,NaN,NaN,NaN,NaN,NaN,10.22,10.22,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
