day,ration
1,1.129092495637
2,0.862321116928447
3,1.33361256544503
4,1.28349040139616
5,0.93802792321117
6,0.901780104712042
7,0.751186736474695
8,0.768621291448517
9,1.13253054101222
10,1.41205933682373
11,1.6356369982548
12,1.68275741710297
13,1.83197207678883
14,1.97333333333333
15,1.97333333333333
16,1.97333333333333
17,1.97333333333333
18,1.97333333333333
19,1.97333333333333
20,1.97333333333333
21,1.97333333333333
22,1.97333333333333
23,1.97333333333333
24,1.97333333333333
25,1.97333333333333
26,1.97333333333333
27,1.97333333333333
28,1.97333333333333
29,1.97333333333333
30,1.97333333333333
31,1.97333333333333
32,1.97333333333333
33,1.97333333333333
34,1.97333333333333
35,1.97333333333333
36,1.97333333333333
37,1.97333333333333
38,1.97333333333333
39,1.97333333333333
40,1.97333333333333
41,1.97333333333333
42,1.97333333333333
43,1.97333333333333
44,1.97333333333333
45,1.97333333333333
46,1.97333333333333
47,1.97333333333333
48,1.97333333333333
49,1.97333333333333
50,1.97333333333333
51,1.97333333333333
52,1.97333333333333
53,1.97333333333333
54,1.97333333333333
55,1.97333333333333
56,1.97333333333333
57,1.97333333333333
58,1.97333333333333
59,0
60,0
