day,ration
1,1.09231488406881
2,0.478814510097233
3,0.924289454001496
4,1.12623410620793
5,0.974382946896036
6,1.26576290201945
7,0.71422961854899
8,0.794465220643231
9,1.02565445026178
10,1.29981301421092
11,1.14257666417352
12,1.16224756918474
13,1.30792819745699
14,1.36624906507105
15,1.55510471204189
16,1.68973448017951
17,1.74863500373972
18,1.28163799551234
19,1.81174270755423
20,1.79070680628272
21,1.82857142857143
22,1.82857142857143
23,1.82857142857143
24,1.82857142857143
25,1.82857142857143
26,1.82857142857143
27,1.82857142857143
28,1.82857142857143
29,1.82857142857143
30,1.82857142857143
31,1.82857142857143
32,1.82857142857143
33,1.82857142857143
34,1.82857142857143
35,1.82857142857143
36,1.82857142857143
37,1.82857142857143
38,1.82857142857143
39,1.82857142857143
40,1.82857142857143
41,1.82857142857143
42,1.82857142857143
43,1.82857142857143
44,1.82857142857143
45,1.82857142857143
46,1.82857142857143
47,1.82857142857143
48,1.82857142857143
49,1.82857142857143
50,1.82857142857143
51,1.82857142857143
52,1.82857142857143
53,1.82857142857143
54,1.82857142857143
55,1.82857142857143
56,1.82857142857143
57,1.82857142857143
58,1.82857142857143
59,1.82857142857143
60,0
