day,ration
1,1.114
2,0.691
3,1.125
4,1.293
5,1.386
6,1.307
7,1.742
8,1.836
9,1.683
10,1.742
11,1.699
12,1.766
13,1.86
14,1.86
15,1.86
16,1.86
17,1.86
18,1.86
19,1.86
20,1.86
21,1.86
22,1.86
23,1.86
24,1.86
25,1.86
26,1.86
27,1.86
28,1.86
29,1.86
30,1.86
31,1.86
32,1.86
33,1.86
34,1.86
35,1.86
36,1.86
37,1.86
38,1.86
39,1.86
40,1.86
41,1.86
42,1.86
43,1.86
44,1.86
45,1.86
46,1.86
47,1.86
48,1.86
49,1.86
50,1.86
51,1.86
52,1.86
53,1.86
54,1.86
55,1.86
56,1.86
57,1.86
58,1.86
59,0.0
60,0.0
