Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2025-06-14/2:41:19 PM,Flush,1013,0,29.36,15.14,9.84,29.4457,15.14,9.59,29.1771,15.14,9.53,28.8943,15.14,10.09,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.14,15.14,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:20 PM,Flush,1013,0,29.3612,15.14,9.84,29.4225,15.14,9.61,29.16,15.14,9.55,28.9113,15.14,10.07,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.1387,15.14,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:21 PM,Flush,1013,0,29.3712,15.13,9.83,29.4363,15.13,9.6,29.1562,15.13,9.55,28.8563,15.13,10.13,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.1313,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:22 PM,Flush,1013,0,29.3788,15.14,9.82,29.415,15.14,9.61,29.1325,15.14,9.57,28.8875,15.14,10.1,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.14,15.14,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:23 PM,Flush,1013,0,29.3663,15.14,9.84,29.4475,15.14,9.59,29.145,15.14,9.56,28.8063,15.14,10.17,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.14,15.14,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:24 PM,Flush,1013,0,29.3425,15.14,9.86,29.43,15.14,9.6,29.1163,15.14,9.58,28.8488,15.14,10.13,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.1387,15.14,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:25 PM,M1   ,1013,0,29.3612,15.13,9.84,29.4275,15.13,9.61,29.1537,15.13,9.56,28.8425,15.13,10.14,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,15.14,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:26 PM,M1   ,1013,0,29.3688,15.13,9.84,29.4163,15.13,9.62,29.1175,15.13,9.59,28.8612,15.13,10.12,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:27 PM,M1   ,1013,0,29.3612,15.13,9.84,29.4563,15.13,9.58,29.1675,15.13,9.54,28.8813,15.13,10.11,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:28 PM,M1   ,1013,0,29.3675,15.13,9.84,29.425,15.13,9.61,29.1537,15.13,9.56,28.955,15.13,10.04,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:29 PM,M1   ,1013,0,29.3513,15.13,9.85,29.3975,15.13,9.63,29.1737,15.13,9.54,28.9225,15.13,10.07,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:30 PM,M1   ,1013,0,29.36,15.13,9.85,29.45,15.13,9.59,29.1312,15.13,9.57,28.93,15.13,10.06,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-14/2:41:31 PM,M1   ,1013,0,29.36,15.13,9.85,29.4475,15.13,9.59,29.1425,15.13,9.57,28.8637,15.13,10.12,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,15.13,NaN,NaN,NaN,NaN,NaN,15.13,15.13,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
